Part 2: top-5 most popular drop locations,,
DOLocationID,number_of_dropoffs,
,,
,,
,,
,,
,,
Part 3: top-5 most popular pickup locations,,
PULocationID,number_of_pickups,
,,
,,
,,
,,
,,
Part 4: top-5 most popular pickup-dropoff pairs,,
PULocationID,DOLocationID,count of pickup-dropoff
,,
,,
,,
,,
,,
"Part 5: the number of drop-offs over the period from January 1, 2019 (inclusive of January 1) to January 5, 2019 (inclusive of January 5)",,
day,total_activity,
01-Jan-19,,
02-Jan-19,,
03-Jan-19,,
04-Jan-19,,
05-Jan-19,,
Part 6: top-3 locations with the maximum overall activity,,
locationID,total_activity,
 , ,
 , ,
 , ,
