Parameter,Value
GTID,aeissa3
1_Mean Absolute Error,1656.147651
1_Root Mean Squared Error,2456.983209
1_Relative Absolute Error,0.276606
1_Relative Squared Error,0.089608
1_Coefficient of Determination,0.910392
2_Mean Absolute Error,1587.975994
2_Root Mean Squared Error,2502.355872
2_Relative Absolute Error,0.254917
2_Relative Squared Error,0.082756
2_Coefficient of Determination,0.917244
3_Root Mean Squared Error (RMSE) for 1st fold,2379.387294
3_Root Mean Squared Error (RMSE) for 2nd fold,1923.489801
3_Root Mean Squared Error (RMSE) for 3rd fold,1298.336912
3_Root Mean Squared Error (RMSE) for 4th fold,2154.229969
3_Root Mean Squared Error (RMSE) for 5th fold,1547.239721
3_Coefficient of Determination for 1st fold,0.729797
3_Coefficient of Determination for 2nd fold,0.902304
3_Coefficient of Determination for 3rd fold,0.953947
3_Coefficient of Determination for 4th fold,0.869981
3_Coefficient of Determination for 5th fold,0.936463
